Report_No,Reported_Date,Reported Time,From_Date,From Time,Offense,IBRS,Description,Beat,Address,City,Zip Code,Rep_Dist,Area,DVFlag,Invl_No,Involvement,Race,Sex,Age,Location 1
70059279,10-06-2009 00:00,03:24,10-05-2009 00:00,22:56,1850,35B,Possession of Drug E,333,PROSPECT AV/VICTOR ST,KANSAS CITY,64128,PJ2327,EPD,U,1,ARR,B,F,28,"PROSPECT AV VICTOR ST KANSAS CITY, MO 64128
(39.06740375200047, -94.53796609099965)"
80005443,02-05-2009 00:00,11:45,1/22/2008 0:00,12:00,121,09C,Justifiable Homicide,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,W,M,27,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80019629,6/18/2009 0:00,22:50,6/18/2009 0:00,21:15,1849,35A,Possession/Sale/Dist,315,100  WHEELING AV,KANSAS CITY,64129,PJ0371,EPD,U,1,ARR,W,M,22,"100 WHEELING AV
KANSAS CITY, MO 64129
(39.11208492200046, -94.51061594899966)"
70060962,1/28/2009 0:00,18:44,1/28/2009 0:00,18:44,1352,280,Stolen Property OFFE,334,E 44 ST/INDIANA AV,KANSAS CITY,64130,PJ3525,EPD,U,1,VIC,U,U,,"44 ST INDIANA AV
KANSAS CITY, MO 64130
(39.03332152900049, -94.5441881379997)"
80005443,02-05-2009 00:00,11:45,1/22/2008 0:00,12:00,121,09C,Justifiable Homicide,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,2,SUS,W,M,28,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
40045232,8/27/2009 0:00,22:30,8/27/2009 0:00,22:30,201,11A,Rape,112,E 13 ST/GRAND AV,KANSAS CITY,64106,PJ1089,CPD,U,1,ARR,B,M,19,"13 ST GRAND AV
KANSAS CITY, MO 64106
(39.10425374300047, -94.57449889699967)"
60060154,08-06-2009 00:00,14:00,08-06-2009 00:00,00:30,2601,90Z,Misc Violation,234,9400  MYRTLE AV ,KANSAS CITY,64132,PJ6447,MPD,U,1,VIC,B,F,41,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
80044636,3/26/2009 0:00,07:35,3/25/2009 0:00,14:32,2601,90Z,Misc Violation,121,1300  INDEPENDENCE AV,KANSAS CITY,64110,PJ0506,CPD,U,1,SUS,B,M,20,"1300 INDEPENDENCE AV
KANSAS CITY, MO 64110
(39.10689864800048, -94.56651135699968)"
80035018,3/30/2009 0:00,22:16,3/30/2009 0:00,21:45,1001,250,Forgery,121,E 32 TE/PASEO,KANSAS CITY,,PJ2616,CPD,U,1,ARR,B,M,41,"32 TE
PASEO KANSAS CITY, MO
(39.068642541000486, -94.59592619799969)"
60060154,08-06-2009 00:00,14:00,08-06-2009 00:00,00:30,2601,90Z,Misc Violation,234,9400  MYRTLE AV ,KANSAS CITY,64132,PJ6447,MPD,U,1,SUS,B,F,37,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
70096978,04-12-2009 00:00,01:00,04-12-2009 00:00,01:00,2601,90Z,Misc Violation,112,E 33 ST/TROOST AV,KANSAS CITY,64111,PJ2623,CPD,U,1,VIC,,,,"33 ST TROOST AV
KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
70052092,4/14/2009 0:00,17:43,2/26/2009 0:00,21:45,1401,290,Property Damage,112,1300  CHERRY ST,KANSAS CITY,64109,PJ1191,CPD,U,1,ARR,B,M,49,"1300 CHERRY ST
KANSAS CITY, MO 64109
(39.098312716000464, -94.5763166219997)"
60060154,08-06-2009 00:00,14:00,08-06-2009 00:00,00:30,2601,90Z,Misc Violation,234,9400  MYRTLE AV ,KANSAS CITY,64132,PJ6447,MPD,U,1,VIC,B,M,18,"9400 MYRTLE AV
KANSAS CITY, MO 64132
(38.956363155000474, -94.54179671699967)"
80012771,4/28/2009 0:00,16:07,4/28/2009 0:00,,3069,,Suicide by Other Mea,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,VIC,B,M,59,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
70062611,11/18/2009 0:00,10:20,08-10-2007 00:00,15:32,401,13A,Aggravated Assault (,424,NW 108 ST/ARROWHEAD TF,KANSAS CITY,,PC0125,NPD,U,1,VIC,W,M,43,"108 ST
ARROWHEAD TF KANSAS CITY, MO
(39.52368635500045, -99.11415045099966)"
80013103,7/14/2009 0:00,02:30,2/18/2008 0:00,01:56,799,,Auto Theft Outside S,223,E 59 ST/BRUCE R WATKINS DR,KANSAS CITY,64130,PJ4621,MPD,U,1,VIC,B,F,30,"59 ST BRUCE R WATKINS DR
KANSAS CITY, MO 64130
(39.03332152900049, -94.5441881379997)"
80024269,07-06-2009 00:00,18:48,07-06-2009 00:00,18:35,690,23H,Stealing All Other,112,1300  CHERRY ST,KANSAS CITY,64106,PJ1191,CPD,U,1,ARR,B,M,25,"1300 CHERRY ST
KANSAS CITY, MO 64106
(39.098312716000464, -94.5763166219997)"
80005443,02-05-2009 00:00,11:45,1/22/2008 0:00,12:00,121,09C,Justifiable Homicide,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,VIC,B,M,57,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
70096978,04-12-2009 00:00,01:00,04-12-2009 00:00,01:00,2601,90Z,Misc Violation,112,E 33 ST/TROOST AV,KANSAS CITY,64111,PJ2623,CPD,U,1,ARR,B,M,49,"33 ST TROOST AV
KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)"
90050497,07-05-2009 00:00,11:48,07-04-2009 00:00,09:00,501,220,Burglary - Residence,114,2100  WASHINGTON ST,KANSAS CITY,64108,PJ1747,CPD,U,1,SUS,U,U,,"2100 WASHINGTON ST
KANSAS CITY, MO 64108
(39.086932023000486, -94.59020981899965)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,2,VIC,W,M,19,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
90071375,09-12-2009 00:00,11:33,09-12-2009 00:00,09:00,640,23F,Stealing From Auto,313,INDEPENDENCE AV/MONROE AV,KANSAS CITY,64124,PJ0623,EPD,U,1,SUS,U,U,,"INDEPENDENCE AV MONROE AV KANSAS CITY, MO 64124
(39.10688247100046, -94.54360590699969)"
80053594,1/19/2009 0:00,08:28,,,101,09A,HOMICIDE,,,,,,,N,1,VIC,B,M,19,"MO
(38.63579372300046, -92.56629737199967)"
80057891,08-08-2009 00:00,22:01,08-08-2009 00:00,19:14,702,240,Auto Theft,333,4100  CHESTNUT AV,KANSAS CITY,64130,PJ3354,EPD,U,1,VIC,W,F,35,"4100 CHESTNUT AV
KANSAS CITY, MO 64130
(39.05163263600048, -94.55149613599968)"
80053594,1/19/2009 0:00,08:28,,,101,09A,HOMICIDE,,,,,,,U,1,SUS,B,M,17,"MO
(38.63579372300046, -92.56629737199967)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,3,VIC,W,M,21,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80053065,1/13/2009 0:00,10:01,07-08-2008 00:00,17:01,121,09C,Justifiable Homicide,243,HILLCREST RD/OLDHAM RD,KANSAS CITY,64134,PJ5676,MPD,U,3,SUS,W,M,33,"HILLCREST RD OLDHAM RD KANSAS CITY, MO 64134
(38.931213900000444, -94.5017765399997)"
80044636,3/26/2009 0:00,07:35,3/25/2009 0:00,14:32,2601,90Z,Misc Violation,121,1300  INDEPENDENCE AV,KANSAS CITY,64110,PJ0506,CPD,U,1,VIC,W,M,40,"1300 INDEPENDENCE AV
KANSAS CITY, MO 64110
(39.10689864800048, -94.56651135699968)"
80046155,4/23/2009 0:00,15:39,5/30/2008 0:00,11:00,2001,90F,Family Offense,112,1200  E LINWOOD BL ,KANSAS CITY,64110,PJ2543,CPD,U,1,ARR,B,F,21,"1200 LINWOOD
BL KANSAS CITY, MO 64110
(39.03595025700048, -94.5732171199997)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,VIC,W,M,17,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,SUS,U,F,26,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,3,SUS,W,F,23,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80047912,8/21/2009 0:00,19:04,8/21/2009 0:00,17:56,2601,90Z,Misc Violation,332,E 35 ST/JACKSON AV,KANSAS CITY,64128,PJ2784,EPD,U,2,VIC,,,,"35 ST JACKSON AV
KANSAS CITY, MO 64128
(39.06740375200047, -94.53796609099965)"
80048660,7/29/2009 0:00,12:44,05-11-2008 00:00,,831,13C,Intimidation,543,11500  BELMONT AV,KANSAS CITY,,PJ7212,SPD,U,2,SUS,W,F,55,"11500 BELMONT AV
KANSAS CITY, MO
(38.91581402200046, -94.52088507099967)"
80066126,1/19/2009 0:00,15:53,,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,SUS,W,M,45,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80053065,1/13/2009 0:00,10:01,07-08-2008 00:00,17:01,121,09C,Justifiable Homicide,243,HILLCREST RD/OLDHAM RD,KANSAS CITY,64134,PJ5676,MPD,N,1,SUS,W,M,42,"HILLCREST RD OLDHAM RD KANSAS CITY, MO 64134
(38.931213900000444, -94.5017765399997)"
80060498,04-10-2009 00:00,18:26,04-10-2009 00:00,18:26,2601,90Z,Misc Violation,113,1300  CHERRY ST,KANSAS CITY,64109,PJ1191,CPD,U,1,ARR,B,M,33,"1300 CHERRY ST
KANSAS CITY, MO 64109
(39.098312716000464, -94.5763166219997)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,2,SUS,W,F,47,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80048660,7/29/2009 0:00,12:44,05-11-2008 00:00,,831,13C,Intimidation,543,11500  BELMONT AV,KANSAS CITY,,PJ7212,SPD,U,1,VIC,W,F,51,"11500 BELMONT AV
KANSAS CITY, MO
(38.91581402200046, -94.52088507099967)"
80052620,01-08-2009 00:00,10:09,,,831,13C,Intimidation,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,4,VIC,W,F,29,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80072941,01-08-2009 00:00,14:28,01-08-2009 00:00,14:15,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,U,U,,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
90024384,04-04-2009 00:00,19:17,04-04-2009 00:00,19:05,802,13B,Non Agg Assault Dome,222,5400  HIGHLAND AV,KANSAS CITY,64130,PJ4353,MPD,U,1,SUS,B,M,43,"5400 HIGHLAND AV
KANSAS CITY, MO 64130
(39.02859231600047, -94.56557639699969)"
80070176,01-12-2009 00:00,12:50,,,101,09A,HOMICIDE,314,ANDERSON AV/LAWN AV,KANSAS CITY,,PJ0342,EPD,U,1,VIC,W,M,32,"ANDERSON AV LAWN AV KANSAS CITY, MO
(39.52368635500045, -99.11415045099966)"
80068116,1/21/2009 0:00,17:01,,,101,09A,HOMICIDE,341,2000  WHEELING AV,KANSAS CITY,64126,PJ1791,EPD,U,1,VIC,B,M,25,"2000 WHEELING AV
KANSAS CITY, MO 64126
(39.08677734100047, -94.51106839399966)"
80068313,6/30/2009 0:00,09:21,,,1750,11D,Sex Off Fondle - mol,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,1,SUS,W,M,20,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
80071105,1/14/2009 0:00,07:24,09-07-2008 00:00,01:51,121,09C,Justifiable Homicide,141,3900  CHARLOTTE ST,KANSAS CITY,,PJ3140,CPD,N,1,VIC,B,M,54,"3900 CHARLOTTE ST
KANSAS CITY, MO
(39.05608246200046, -94.57566638199967)"
80071887,1/28/2009 0:00,17:27,09-10-2008 00:00,08:45,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,VIC,W,M,46,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80068095,1/28/2009 0:00,17:19,8/28/2008 0:00,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,VIC,B,M,19,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80070143,12-07-2009 00:00,02:39,12-07-2009 00:00,02:39,1850,35B,Possession of Drug E,143,E 44 ST/VIRGINIA AV,KANSAS CITY,64110,PJ3481,CPD,U,1,VIC,,,,"44 ST VIRGINIA AV
KANSAS CITY, MO 64110
(39.03595025700048, -94.5732171199997)"
80068095,1/28/2009 0:00,17:42,8/28/2008 0:00,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,U,U,,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80068116,1/21/2009 0:00,17:01,,,101,09A,HOMICIDE,341,2000  WHEELING AV,KANSAS CITY,64126,PJ1791,EPD,U,1,SUS,U,U,,"2000 WHEELING AV
KANSAS CITY, MO 64126
(39.08677734100047, -94.51106839399966)"
80071105,1/14/2009 0:00,07:24,09-07-2008 00:00,01:51,121,09C,Justifiable Homicide,141,3900  CHARLOTTE ST,KANSAS CITY,,PJ3140,CPD,N,2,SUS,W,M,33,"3900 CHARLOTTE ST
KANSAS CITY, MO
(39.05608246200046, -94.57566638199967)"
80066126,1/19/2009 0:00,15:53,,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,,PJ1029,CPD,U,1,VIC,W,M,25,"1100 LOCUST ST
KANSAS CITY, MO
(39.100854728000456, -94.57737538399965)"
80070849,1/26/2009 0:00,17:30,09-06-2008 00:00,03:59,101,09A,HOMICIDE,321,E 10 ST/SPRUCE AV,KANSAS CITY,,PJ0972,EPD,U,1,VIC,W,M,41,"10 ST SPRUCE AV
KANSAS CITY, MO
(39.10295319700049, -94.5830775179997)"
80070849,1/26/2009 0:00,17:30,09-06-2008 00:00,03:59,101,09A,HOMICIDE,321,E 10 ST/SPRUCE AV,KANSAS CITY,,PJ0972,EPD,U,3,SUS,B,M,,"10 ST SPRUCE AV
KANSAS CITY, MO
(39.10295319700049, -94.5830775179997)"
80068095,1/28/2009 0:00,17:19,8/28/2008 0:00,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,U,U,,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80070849,1/26/2009 0:00,17:30,09-06-2008 00:00,03:59,101,09A,HOMICIDE,321,E 10 ST/SPRUCE AV,KANSAS CITY,,PJ0972,EPD,U,1,SUS,B,M,,"10 ST SPRUCE AV
KANSAS CITY, MO
(39.10295319700049, -94.5830775179997)"
80070849,1/26/2009 0:00,17:30,09-06-2008 00:00,03:59,101,09A,HOMICIDE,321,E 10 ST/SPRUCE AV,KANSAS CITY,,PJ0972,EPD,U,2,SUS,B,M,,"10 ST SPRUCE AV
KANSAS CITY, MO
(39.10295319700049, -94.5830775179997)"
80071887,1/28/2009 0:00,17:27,09-10-2008 00:00,08:45,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,W,M,24,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80068095,1/28/2009 0:00,17:42,8/28/2008 0:00,,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,2,VIC,B,F,24,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80071105,1/14/2009 0:00,07:24,09-07-2008 00:00,01:51,121,09C,Justifiable Homicide,141,3900  CHARLOTTE ST,KANSAS CITY,,PJ3140,CPD,N,1,SUS,W,M,25,"3900 CHARLOTTE ST
KANSAS CITY, MO
(39.05608246200046, -94.57566638199967)"
90037455,5/21/2009 0:00,09:52,03-01-2009 00:00,12:00,650,23G,Stealing Auto Parts/,542,8600  E 92 PL,KANSAS CITY,64138,PJ6458,SPD,U,1,VIC,W,F,18,"8600 92 PL
KANSAS CITY, MO 64138
(38.95524775400048, -94.48831025499965)"
80088167,2/26/2009 0:00,00:08,2/25/2009 0:00,17:40,1001,250,Forgery,999,10000  E 59 ST,RAYTOWN,64133,PJX001,SPD,U,1,VIC,,,,"10000 59 ST
RAYTOWN, MO 64133
(39.01586820400047, -94.46310838899967)"
80080247,04-06-2009 00:00,07:47,04-06-2009 00:00,07:47,1546,520,Dangerous and Concea,213,8700  E 63 TF,KANSAS CITY,64133,PJ4889,MPD,U,1,ARR,B,M,21,"8700 63
TF KANSAS CITY, MO 64133
(39.007760645000474, -94.4658591219997)"
80092744,10/19/2009 0:00,17:53,10/19/2009 0:00,17:00,2001,90F,Family Offense,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,1,VIC,W,F,3,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
80076261,4/16/2009 0:00,00:30,9/23/2008 0:00,21:15,2601,90Z,Misc Violation,342,MANCHESTER TF/E US 40 HW,KANSAS CITY,64131,PJ2576,EPD,U,1,VIC,B,M,30,"40 HW
KANSAS CITY, MO 64131
(38.96538302300047, -94.57690602899964)"
80075317,01-08-2009 00:00,14:53,9/20/2008 0:00,02:20,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64127,PJ1029,CPD,U,1,VIC,W,M,,"1100 LOCUST ST
KANSAS CITY, MO 64127
(39.100854728000456, -94.57737538399965)"
80074411,1/24/2009 0:00,09:01,1/24/2009 0:00,00:28,831,13C,Intimidation,123,1200  HIGHLAND AV ,KANSAS CITY,64127,PJ1180,CPD,U,1,SUS,U,M,,"1200 HIGHLAND AV
KANSAS CITY, MO 64127
(39.098314623000476, -94.56175123499969)"
80092744,10/19/2009 0:00,17:53,10/19/2009 0:00,17:00,2001,90F,Family Offense,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,1,SUS,W,F,21,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
80074411,1/24/2009 0:00,09:01,1/24/2009 0:00,00:28,831,13C,Intimidation,123,1200  HIGHLAND AV ,KANSAS CITY,64127,PJ1180,CPD,U,2,SUS,B,F,23,"1200 HIGHLAND AV
KANSAS CITY, MO 64127
(39.098314623000476, -94.56175123499969)"
80075317,01-08-2009 00:00,14:53,9/20/2008 0:00,02:20,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64127,PJ1029,CPD,U,1,SUS,W,M,,"1100 LOCUST ST
KANSAS CITY, MO 64127
(39.100854728000456, -94.57737538399965)"
80084236,4/14/2009 0:00,08:34,4/14/2009 0:00,,201,11A,Rape,113,1500  HOLMES ST,KANSAS CITY,,PJ1363,CPD,U,1,VIC,W,F,7,"1500 HOLMES ST
KANSAS CITY, MO
(39.095351561000484, -94.57532645599969)"
80079646,2/13/2009 0:00,17:21,02-12-2009 00:00,18:42,2040,90Z,Violation Full Order,223,6000  WALROND AV,KANSAS CITY,64130,PJ4790,MPD,U,1,SUS,W,M,21,"6000 WALROND AV
KANSAS CITY, MO 64130
(39.017281608000474, -94.54895814699967)"
80079646,2/13/2009 0:00,17:21,02-12-2009 00:00,18:42,2040,90Z,Violation Full Order,223,6000  WALROND AV,KANSAS CITY,64130,PJ4790,MPD,U,2,VIC,W,M,25,"6000 WALROND AV
KANSAS CITY, MO 64130
(39.017281608000474, -94.54895814699967)"
80090666,01-07-2009 00:00,21:35,01-07-2009 00:00,21:35,2601,90Z,Misc Violation,224,1800  E 63 ST,KANSAS CITY,64130,PJ4870,MPD,U,1,ARR,B,M,41,"1800 63 ST
KANSAS CITY, MO 64130
(39.01288455600047, -94.5644999219997)"
80073714,01-08-2009 00:00,14:38,01-08-2009 00:00,14:35,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,VIC,B,M,31,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80074321,3/29/2009 0:00,03:36,2/28/2009 0:00,00:13,801,13B,Non Aggravated Assau,541,E 107 ST/BRISTOL TE,KANSAS CITY,64134,PJ6857,SPD,U,1,ARR,B,M,33,"107 ST
BRISTOL TE KANSAS CITY, MO 64134
(38.92863366500046, -94.4636670539997)"
80075760,01-08-2009 00:00,07:52,01-08-2009 00:00,07:52,201,11A,Rape,123,1200  PASEO,KANSAS CITY,64106,PJ1129,CPD,U,1,ARR,B,M,28,"1200 PASEO
KANSAS CITY, MO 64106
(39.098930847000474, -94.56419300699969)"
80074411,1/24/2009 0:00,09:01,1/24/2009 0:00,00:28,831,13C,Intimidation,123,1200  HIGHLAND AV ,KANSAS CITY,64127,PJ1180,CPD,U,1,VIC,B,F,24,"1200 HIGHLAND AV
KANSAS CITY, MO 64127
(39.098314623000476, -94.56175123499969)"
80079646,2/13/2009 0:00,17:21,02-12-2009 00:00,18:42,2040,90Z,Violation Full Order,223,6000  WALROND AV,KANSAS CITY,64130,PJ4790,MPD,U,1,VIC,W,F,24,"6000 WALROND AV
KANSAS CITY, MO 64130
(39.017281608000474, -94.54895814699967)"
80099982,7/19/2009 0:00,10:23,,,1750,11D,Sex Off Fondle - mol,412,6000  N JEFFERSON ST ,KANSAS CITY,64118,PC0616,NPD,U,2,VIC,W,M,5,"6000 JEFFERSON ST
KANSAS CITY, MO 64118
(39.20307309000049, -94.58775022299966)"
90049118,6/30/2009 0:00,15:23,6/30/2009 0:00,07:00,640,23F,Stealing From Auto,221,4900  TRACY AV,KANSAS CITY,64110,PJ3971,MPD,U,1,VIC,W,M,21,"4900 TRACY AV
KANSAS CITY, MO 64110
(39.03789153500048, -94.57088793899965)"
80092844,6/27/2009 0:00,16:53,6/27/2009 0:00,,801,13B,Non Aggravated Assau,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,1,SUS,W,M,28,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
80099982,7/19/2009 0:00,10:23,,,1750,11D,Sex Off Fondle - mol,412,6000  N JEFFERSON ST ,KANSAS CITY,64118,PC0616,NPD,U,1,VIC,W,F,3,"6000 JEFFERSON ST
KANSAS CITY, MO 64118
(39.20307309000049, -94.58775022299966)"
80095948,1/21/2009 0:00,18:56,1/21/2009 0:00,18:50,101,09A,HOMICIDE,112,1100  LOCUST ST,KANSAS CITY,64106,PJ1029,CPD,U,1,SUS,B,M,26,"1100 LOCUST ST
KANSAS CITY, MO 64106
(39.100854728000456, -94.57737538399965)"
80101492,1/28/2009 0:00,08:12,1/28/2009 0:00,,210,11B,Forcible Sodomy,113,8200  E 116 ST,KANSAS CITY,64134,PJ7256,SPD,U,1,SUS,W,M,51,"8200 116 ST
KANSAS CITY, MO 64134
(38.91299749700045, -94.49683563499968)"
80099555,03-09-2009 00:00,04:16,03-09-2009 00:00,03:18,1401,290,Property Damage,333,E 39 ST/MERSINGTON AV,KANSAS CITY,64128,PJ3125,EPD,U,1,ARR,B,F,20,"39 ST MERSINGTON AV
KANSAS CITY, MO 64128
(39.06740375200047, -94.53796609099965)"
80094622,02-05-2009 00:00,15:56,02-05-2009 00:00,15:55,1849,35A,Possession/Sale/Dist,334,4500  CHELSEA AV,KANSAS CITY,64130,PJ3794,EPD,U,1,ARR,B,M,19,"4500 CHELSEA AV
KANSAS CITY, MO 64130
(39.04358220300048, -94.52772622099968)"
90000074,01-01-2009 00:00,04:02,01-01-2009 00:00,04:00,403,13A,Agg Assault - Domest,544,9600  BOOTH AV,KANSAS CITY,64134,PJ6569,SPD,U,1,VIC,B,F,61,"9600 BOOTH AV
KANSAS CITY, MO 64134
(38.94962180900046, -94.49008568499966)"
80094622,02-05-2009 00:00,15:56,02-05-2009 00:00,15:55,1849,35A,Possession/Sale/Dist,334,4500  CHELSEA AV,KANSAS CITY,64130,PJ3794,EPD,U,1,VIC,,,,"4500 CHELSEA AV
KANSAS CITY, MO 64130
(39.04358220300048, -94.52772622099968)"
80094622,02-05-2009 00:00,15:56,02-05-2009 00:00,15:55,1849,35A,Possession/Sale/Dist,334,4500  CHELSEA AV,KANSAS CITY,64130,PJ3794,EPD,U,2,ARR,B,M,17,"4500 CHELSEA AV
KANSAS CITY, MO 64130
(39.04358220300048, -94.52772622099968)"
80092844,6/27/2009 0:00,16:53,6/27/2009 0:00,,2001,90F,Family Offense,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,2,VIC,W,F,17,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
80092844,6/27/2009 0:00,16:53,6/27/2009 0:00,,801,13B,Non Aggravated Assau,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,2,VIC,W,F,17,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
80099982,7/19/2009 0:00,10:23,,,1750,11D,Sex Off Fondle - mol,412,6000  N JEFFERSON ST ,KANSAS CITY,64118,PC0616,NPD,U,1,SUS,W,M,33,"6000 JEFFERSON ST
KANSAS CITY, MO 64118
(39.20307309000049, -94.58775022299966)"
80095144,01-07-2009 00:00,15:14,01-07-2009 00:00,11:34,1001,250,Forgery,413,4200  NW 57 TE,KANSAS CITY,64119,PP0690,NPD,U,1,ARR,W,M,43,"4200 57
TE KANSAS CITY, MO 64119
(39.20301137400048, -94.52456609299969)"
80097040,1/31/2009 0:00,12:31,1/31/2009 0:00,12:00,2601,90Z,Misc Violation,324,E 24 ST/VAN BRUNT BL,KANSAS CITY,64127,PJ1980,EPD,U,1,VIC,U,U,,"24 ST
VAN BRUNT BL KANSAS CITY, MO 64127
(39.081024399000455, -94.51542640799966)"
80101492,1/28/2009 0:00,08:12,1/28/2009 0:00,,210,11B,Forcible Sodomy,113,8200  E 116 ST,KANSAS CITY,64134,PJ7256,SPD,U,1,VIC,W,F,14,"8200 116 ST
KANSAS CITY, MO 64134
(38.91299749700045, -94.49683563499968)"
80092844,6/27/2009 0:00,16:53,6/27/2009 0:00,,2001,90F,Family Offense,113,1500  HOLMES ST,KANSAS CITY,64108,PJ1363,CPD,U,1,SUS,W,M,28,"1500 HOLMES ST
KANSAS CITY, MO 64108
(39.095351561000484, -94.57532645599969)"
